0230723805231792010010100004+34767-114617FM-15+0302KEED V0200501N005112200019N0160931N1+01401-00701102731ADDGF100991999999999999999999KA1999M+01561KA2999N+01111MA1102811999999MD1610011+9999REMMET102METAR KEED 312356Z AUTO 05010KT 10SM CLR 14/M07 A3036 RMK AO2 SLP273 T01441067 10156 20111 56001 TSNO;EQDQ01    993SCCGA1Q02    099SCCGD1
0195723805231792010010115567+34766-114620FM-15+0279KEED V0309999C000052200059N0160935N5+00835-00505102745ADDAA101000095GF100991999999999999999999MA1102815099465REMMET09601/01/10 07:56:02 METAR KEED 011556Z 00000KT 10SM CLR 08/M05 A3036 RMK AO2 SLP274 T00831050 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010116567+34766-114620FM-15+0279KEED V0300205N005752200059N0160935N5+01005-00505102725ADDAA101000095GF100991999999999999999999MA1102785099435REMMET09601/01/10 08:56:02 METAR KEED 011656Z 02011KT 10SM CLR 10/M05 A3035 RMK AO2 SLP272 T01001050 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0285723805231792010010117567+34766-114620FM-15+0279KEED V0300105N004652200059N0160935N5+01115-00505102705ADDAA101000095GF100991999999999999999999KA1999M+01111KA2999N+00501MA1102785099435MD1890009+9999REMMET11401/01/10 09:56:02 METAR KEED 011756Z 01009KT 10SM CLR 11/M05 A3035 RMK AO2 SLP270 T01111050 10111 20050 58000 TSNOEQDQ01+000082APCTENQ02+000002APC3  Q03    099SCCGD1P01    003SCCGA1
0195723805231792010010118567+34766-114620FM-15+0279KEED V0303605N003152200059N0160935N5+01225-00565102605ADDAA101000095GF100991999999999999999999MA1102685099335REMMET09601/01/10 10:56:02 METAR KEED 011856Z 36006KT 10SM CLR 12/M06 A3032 RMK AO2 SLP260 T01221056 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010119567+34766-114620FM-15+0279KEED V0300205N003652200059N0160935N5+01445-00565102445ADDAA101000095GF100991999999999999999999MA1102545099205REMMET09601/01/10 11:56:02 METAR KEED 011956Z 02007KT 10SM CLR 14/M06 A3028 RMK AO2 SLP244 T01441056 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0215723805231792010010120567+34766-114620FM-15+0279KEED V0300405N004652200059N0160935N5+01565-00675102305ADDAA101000095GF100991999999999999999999MA1102405099075MD1890389+9999REMMET10201/01/10 12:56:02 METAR KEED 012056Z 04009KT 10SM CLR 16/M07 A3024 RMK AO2 SLP230 T01561067 58038 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010121567+34766-114620FM-15+0279KEED V0300205N005752200059N0160935N5+01615-00785102195ADDAA101000095GF100991999999999999999999MA1102305098975REMMET09601/01/10 13:56:02 METAR KEED 012156Z 02011KT 10SM CLR 16/M08 A3021 RMK AO2 SLP219 T01611078 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010122567+34766-114620FM-15+0279KEED V0300205N007252200059N0160935N5+01675-00835102135ADDAA101000095GF100991999999999999999999MA1102245098905REMMET09601/01/10 14:56:02 METAR KEED 012256Z 02014KT 10SM CLR 17/M08 A3019 RMK AO2 SLP213 T01671083 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0253723805231792010010123567+34766-114620FM-15+0279KEED V0303605N005152200059N0160935N5+01615-00835102095ADDAA101000095GF100991999999999999999999KA1999M+01671KA2999N+01111MA1102205098875MD1690199+9999REMMET11401/01/10 15:56:02 METAR KEED 012356Z 36010KT 10SM CLR 16/M08 A3018 RMK AO2 SLP209 T01611083 10167 20111 56019 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010200567+34766-114620FM-15+0279KEED V0303605N005152200059N0160935N5+01445-00945102135ADDAA101000095GF100991999999999999999999MA1102205098875REMMET09601/01/10 16:56:02 METAR KEED 020056Z 36010KT 10SM CLR 14/M09 A3018 RMK AO2 SLP213 T01441094 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010201567+34766-114620FM-15+0279KEED V0300105N005752200059N0160935N5+01335-00835102175ADDAA101000095GF100991999999999999999999MA1102275098935REMMET09601/01/10 17:56:02 METAR KEED 020156Z 01011KT 10SM CLR 13/M08 A3020 RMK AO2 SLP217 T01331083 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0215723805231792010010202567+34766-114620FM-15+0279KEED V0303505N004652200059N0160935N5+01285-00725102215ADDAA101000095GF100991999999999999999999MA1102305098975MD1390089+9999REMMET10201/01/10 18:56:02 METAR KEED 020256Z 35009KT 10SM CLR 13/M07 A3021 RMK AO2 SLP221 T01281072 53008 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010203567+34766-114620FM-15+0279KEED V0303505N004152200059N0160935N5+01285-00725102175ADDAA101000095GF100991999999999999999999MA1102275098935REMMET09601/01/10 19:56:01 METAR KEED 020356Z 35008KT 10SM CLR 13/M07 A3020 RMK AO2 SLP217 T01281072 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010204567+34766-114620FM-15+0279KEED V0303505N004652200059N0160935N5+01225-00785102185ADDAA101000095GF100991999999999999999999MA1102275098935REMMET09601/01/10 20:56:01 METAR KEED 020456Z 35009KT 10SM CLR 12/M08 A3020 RMK AO2 SLP218 T01221078 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0253723805231792010010205567+34766-114620FM-15+0279KEED V0303405N003152200059N0160935N5+01175-00725102115ADDAA101000095GF100991999999999999999999KA1999M+01611KA2999N+01111MA1102205098875MD1890089+9999REMMET11401/01/10 21:56:02 METAR KEED 020556Z 34006KT 10SM CLR 12/M07 A3018 RMK AO2 SLP211 T01171072 10161 20111 58008 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010206567+34766-114620FM-15+0279KEED V0303005N002152200059N0160935N5+01115-00725102075ADDAA101000095GF100991999999999999999999MA1102175098845REMMET09601/01/10 22:56:02 METAR KEED 020656Z 30004KT 10SM CLR 11/M07 A3017 RMK AO2 SLP207 T01111072 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0205723805231792010010207567+34766-114620FM-15+0279KEED V0302705N002152200059N0160935N5+01005-00675102065ADDAA101000095GF100991999999999999999999MA1102175098845REMMET10601/01/10 23:56:02 METAR KEED 020756Z 27004KT 10SM CLR 10/M07 A3017 RMK AO2 SLP206 T01001067 401670050 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0989723805231792010010207596+34766-114620SOD  +0279KEED V030999999999999999999999999999+99999+99999999999ADDAA124000095KA1240M+01675KA2240N+00505KG1024W+0044D4KG2024D-0067D4MF1099154102444MG1099154102034OE11240102836009085OE22240076002014555OE33240037699999995RH1024X043D4RH2024N017D4RH3024M029D4REMSOD75424 HR PRECIPITATION (IN):0.00  24 HR MAX TEMP (F):62 24 HR MAX TEMP TIME (LST):1506 24 HR MIN TEMP (F):41 24 HR MIN TEMP TIME (LST):0610 AVERAGE STATION PRESSURE:29.280 MINIMUM SEA LEVEL PRESSURE:30.13 TIME OF OCCURRENCE:2339 PEAK WIND SPEED (MPH):23  PEAK WIND DIR (DEG):360 PEAK WIND TIME (LST):0908  FASTEST 2MIN SPEED (MPH):17 FASTEST 2MIN DIR (DEG):20  FASTEST 2MIN TIME (LST):1455 AVERAGE WIND SPEED (MPH):8.4  24 HR AVG TEMP (F):52 DEPART FROM NORMAL: -1  HEATING DEGREE DAYS:13  COOLING DEGREE DAYS:0   LATEST DAY MAX TEMP (0700-1900 LST):62  LATEST NIGHT MIN TEMP(1900-0800 LST):41 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00EQDR01     N7GJS072R02     N7GKS075
0215723805231792010010208567+34766-114620FM-15+0279KEED V0309999V001552200059N0160935N5+00835-00725102035ADDAA101000095GF100991999999999999999999MA1102135098805MD1690069+9999REMMET10201/02/10 00:56:02 METAR KEED 020856Z VRB03KT 10SM CLR 08/M07 A3016 RMK AO2 SLP203 T00831072 56006 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010209567+34766-114620FM-15+0279KEED V0302605N002652200059N0160935N5+00725-00725101995ADDAA101000095GF100991999999999999999999MA1102105098775REMMET09601/02/10 01:56:02 METAR KEED 020956Z 26005KT 10SM CLR 07/M07 A3015 RMK AO2 SLP199 T00721072 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010210567+34766-114620FM-15+0279KEED V0302405N004652200059N0160935N5+00675-00725101975ADDAA101000095GF100991999999999999999999MA1102075098745REMMET09601/02/10 02:56:02 METAR KEED 021056Z 24009KT 10SM CLR 07/M07 A3014 RMK AO2 SLP197 T00671072 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0253723805231792010010211567+34766-114620FM-15+0279KEED V0309999V001552200059N0160935N5+00785-00785101985ADDAA101000095GF100991999999999999999999KA1999M+01171KA2999N+00611MA1102105098775MD1590049+9999REMMET11401/02/10 03:56:02 METAR KEED 021156Z VRB03KT 10SM CLR 08/M08 A3015 RMK AO2 SLP198 T00781078 10117 20061 55004 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010212567+34766-114620FM-15+0279KEED V0303105N001552200059N0160935N5+00785-00725102075ADDAA101000095GF100991999999999999999999MA1102175098845REMMET09601/02/10 04:56:02 METAR KEED 021256Z 31003KT 10SM CLR 08/M07 A3017 RMK AO2 SLP207 T00781072 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010213567+34766-114620FM-15+0279KEED V0309999C000052200059N0160935N5+00615-00785102085ADDAA101000095GF100991999999999999999999MA1102175098845REMMET09601/02/10 05:56:02 METAR KEED 021356Z 00000KT 10SM CLR 06/M08 A3017 RMK AO2 SLP208 T00611078 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0215723805231792010010214567+34766-114620FM-15+0279KEED V0302605N001552200059N0160935N5+00675-00725102155ADDAA101000095GF100991999999999999999999MA1102245098905MD1290139+9999REMMET10201/02/10 06:56:02 METAR KEED 021456Z 26003KT 10SM CLR 07/M07 A3019 RMK AO2 SLP215 T00671072 52013 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010215567+34766-114620FM-15+0279KEED V0303605N002152200059N0160935N5+01005-00725102205ADDAA101000095GF100991999999999999999999MA1102305098975REMMET09601/02/10 07:56:02 METAR KEED 021556Z 36004KT 10SM CLR 10/M07 A3021 RMK AO2 SLP220 T01001072 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010216567+34766-114620FM-15+0279KEED V0303305N001552200059N0160935N5+01115-00725102195ADDAA101000095GF100991999999999999999999MA1102305098975REMMET09601/02/10 08:56:02 METAR KEED 021656Z 33003KT 10SM CLR 11/M07 A3021 RMK AO2 SLP219 T01111072 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0253723805231792010010217567+34766-114620FM-15+0279KEED V0309999C000052200059N0160935N5+01285-00675102185ADDAA101000095GF100991999999999999999999KA1999M+01281KA2999N+00501MA1102305098975MD1090069+9999REMMET11401/02/10 09:56:02 METAR KEED 021756Z 00000KT 10SM CLR 13/M07 A3021 RMK AO2 SLP218 T01281067 10128 20050 50006 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010218567+34766-114620FM-15+0279KEED V0303205N002152200059N0160935N5+01445-00675102105ADDAA101000095GF100991999999999999999999MA1102205098875REMMET09601/02/10 10:56:02 METAR KEED 021856Z 32004KT 10SM CLR 14/M07 A3018 RMK AO2 SLP210 T01441067 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010219567+34766-114620FM-15+0279KEED V0300305N003152200059N0160935N5+01675-00675101945ADDAA101000095GF100991999999999999999999MA1102075098745REMMET09601/02/10 11:56:02 METAR KEED 021956Z 03006KT 10SM CLR 17/M07 A3014 RMK AO2 SLP194 T01671067 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0215723805231792010010220567+34766-114620FM-15+0279KEED V0300205N004152200059N0160935N5+01835-00675101825ADDAA101000095GF100991999999999999999999MA1101965098645MD1890339+9999REMMET10201/02/10 12:56:02 METAR KEED 022056Z 02008KT 10SM CLR 18/M07 A3011 RMK AO2 SLP182 T01831067 58033 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010221567+34766-114620FM-15+0279KEED V0300105N005752200059N0160935N5+01895-00675101775ADDAA101000095GF100991999999999999999999MA1101905098575REMMET09601/02/10 13:56:02 METAR KEED 022156Z 01011KT 10SM CLR 19/M07 A3009 RMK AO2 SLP177 T01891067 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010222567+34766-114620FM-15+0279KEED V0303505N005752200059N0160935N5+01895-00615101795ADDAA101000095GF100991999999999999999999MA1101905098575REMMET09601/02/10 14:56:02 METAR KEED 022256Z 35011KT 10SM CLR 19/M06 A3009 RMK AO2 SLP179 T01891061 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0253723805231792010010223567+34766-114620FM-15+0279KEED V0300105N004652200059N0160935N5+01835-00615101805ADDAA101000095GF100991999999999999999999KA1999M+01941KA2999N+01331MA1101935098615MD1590039+9999REMMET11401/02/10 15:56:02 METAR KEED 022356Z 01009KT 10SM CLR 18/M06 A3010 RMK AO2 SLP180 T01831061 10194 20133 55003 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010300567+34766-114620FM-15+0279KEED V0303305N003152200059N0160935N5+01565-00565101825ADDAA101000095GF100991999999999999999999MA1101935098615REMMET09601/02/10 16:56:01 METAR KEED 030056Z 33006KT 10SM CLR 16/M06 A3010 RMK AO2 SLP182 T01561056 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010301567+34766-114620FM-15+0279KEED V0300205N001552200059N0160935N5+01445-00565101895ADDAA101000095GF100991999999999999999999MA1102005098675REMMET09601/02/10 17:56:02 METAR KEED 030156Z 02003KT 10SM CLR 14/M06 A3012 RMK AO2 SLP189 T01441056 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0215723805231792010010302567+34766-114620FM-15+0279KEED V0303405N002152200059N0160935N5+01395-00565101905ADDAA101000095GF100991999999999999999999MA1102005098675MD1390079+9999REMMET10201/02/10 18:56:02 METAR KEED 030256Z 34004KT 10SM CLR 14/M06 A3012 RMK AO2 SLP190 T01391056 53007 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010303567+34766-114620FM-15+0279KEED V0302905N002152200059N0160935N5+01115-00565101945ADDAA101000095GF100991999999999999999999MA1102035098705REMMET09601/02/10 19:56:02 METAR KEED 030356Z 29004KT 10SM CLR 11/M06 A3013 RMK AO2 SLP194 T01111056 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010304567+34766-114620FM-15+0279KEED V0303005N002652200059N0160935N5+01115-00565101975ADDAA101000095GF100991999999999999999999MA1102075098745REMMET09601/02/10 20:56:02 METAR KEED 030456Z 30005KT 10SM CLR 11/M06 A3014 RMK AO2 SLP197 T01111056 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0253723805231792010010305567+34766-114620FM-15+0279KEED V0302505N003652200059N0160935N5+00785-00565102005ADDAA101000095GF100991999999999999999999KA1999M+01831KA2999N+00781MA1102105098775MD1190099+9999REMMET11401/02/10 21:56:01 METAR KEED 030556Z 25007KT 10SM CLR 08/M06 A3015 RMK AO2 SLP200 T00781056 10183 20078 51009 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010306567+34766-114620FM-15+0279KEED V0302605N002152200059N0160935N5+00835-00565101975ADDAA101000095GF100991999999999999999999MA1102075098745REMMET09601/02/10 22:56:02 METAR KEED 030656Z 26004KT 10SM CLR 08/M06 A3014 RMK AO2 SLP197 T00831056 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0205723805231792010010307567+34766-114620FM-15+0279KEED V0302505N002652200059N0160935N5+00895-00565101955ADDAA101000095GF100991999999999999999999MA1102075098745REMMET10601/02/10 23:56:01 METAR KEED 030756Z 25005KT 10SM CLR 09/M06 A3014 RMK AO2 SLP195 T00891056 401940050 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0989723805231792010010307596+34766-114620SOD  +0279KEED V030999999999999999999999999999+99999+99999999999ADDAA124000095KA1240M+01945KA2240N+00505KG1024W+0044D4KG2024D-0067D4MF1098754101964MG1098764101734OE11240080535015245OE22240067135015225OE33240025999999995RH1024X038D4RH2024N017D4RH3024M028D4REMSOD75424 HR PRECIPITATION (IN):0.00  24 HR MAX TEMP (F):67 24 HR MAX TEMP TIME (LST):1502 24 HR MIN TEMP (F):41 24 HR MIN TEMP TIME (LST):0620 AVERAGE STATION PRESSURE:29.165 MINIMUM SEA LEVEL PRESSURE:30.04 TIME OF OCCURRENCE:1430 PEAK WIND SPEED (MPH):18  PEAK WIND DIR (DEG):350 PEAK WIND TIME (LST):1524  FASTEST 2MIN SPEED (MPH):15 FASTEST 2MIN DIR (DEG):350 FASTEST 2MIN TIME (LST):1522 AVERAGE WIND SPEED (MPH):5.8  24 HR AVG TEMP (F):54 DEPART FROM NORMAL: +1  HEATING DEGREE DAYS:11  COOLING DEGREE DAYS:0   LATEST DAY MAX TEMP (0700-1900 LST):67  LATEST NIGHT MIN TEMP(1900-0800 LST):41 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00EQDR01     N7GJS072R02     N7GKS075
0247723805231792010010308567+34766-114620FM-15+0279KEED V0302705N003152200059N0160935N5+00835-00565101975ADDAA101000095GF100991999999999999999999MA1102105098775MD1390009+9999REMMET10201/03/10 00:56:02 METAR KEED 030856Z 27006KT 10SM CLR 08/M06 A3015 RMK AO2 SLP197 T00831056 53000 TSNOEQDQ01+000032APCTENQ02+000002APC3  Q03    099SCCGD1P01    003SCCGA1
0195723805231792010010309567+34766-114620FM-15+0279KEED V0302705N001552200059N0160935N5+00675-00565102005ADDAA101000095GF100991999999999999999999MA1102105098775REMMET09601/03/10 01:56:02 METAR KEED 030956Z 27003KT 10SM CLR 07/M06 A3015 RMK AO2 SLP200 T00671056 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
0195723805231792010010310567+34766-114620FM-15+0279KEED V0302605N002652200059N0160935N5+00615-00505101995ADDAA101000095GF100991999999999999999999MA1102105098775REMMET09601/03/10 02:56:02 METAR KEED 031056Z 26005KT 10SM CLR 06/M05 A3015 RMK AO2 SLP199 T00611050 TSNOEQDQ01    099SCCGD1P01    003SCCGA1
